,barrel,bed,bench,chair,closet,crib,desk,drawer,dresser,globe,hammock,highchair,lamp,mattress,mirror,picture,pillow,plunger,safe,sewing machine,statue,stocking,stool,table,treadmill,vase,wreath,radio
barrel,0.9999999999999998,0.3411632017406929,0.38669399582849673,0.2283186603652675,0.29433787749862483,0.3453171793170453,0.2736078598316365,0.3772909793308443,0.40843450917005786,0.19427755921848233,0.18749645153787697,0.24679037862907105,0.27921803931555966,0.34073892705709263,0.3029771382418591,0.32610132328984465,0.2983045598586058,0.4039735687013506,0.2839533868308848,0.25182881996077733,0.373509493459136,0.44494668062093945,0.35904227711473147,0.27260572551425755,0.24599094165682134,0.37964863234092117,0.41279240349622537,0.265655986163597
bed,0.3411632017406929,1.0,0.43810104561145535,0.3597395042511645,0.46380043706734275,0.5594351081247114,0.4624799025972317,0.36348071983129127,0.46322758856081014,0.32192806263350815,0.40474930133308695,0.29015931529769956,0.40751154918547194,0.6947033984681692,0.31011833597932337,0.33838933540577076,0.5325971050224931,0.2727308911318249,0.3265428933073933,0.3081390747718098,0.23613923584235486,0.33781894351310227,0.3885940579200571,0.41201704827325014,0.31195760689317353,0.2720026502512284,0.2576937875555295,0.4119147914076644
bench,0.38669399582849673,0.43810104561145535,0.9999999999999999,0.4538471923454912,0.4503977357725345,0.3980817703143107,0.46482097360649854,0.3178112886252573,0.4026424813798414,0.3623595083002309,0.3001072863426947,0.39368755571668057,0.3707953425034951,0.4158162593519419,0.27837658605350013,0.3812222111216741,0.40381121791128627,0.20405118317348125,0.3129300287111897,0.3494751233121707,0.3740509138120821,0.31966885667210265,0.42048086307765264,0.4794567175684519,0.3972332796103556,0.25608088365907067,0.21691506707828512,0.3228624989328108
chair,0.2283186603652675,0.3597395042511645,0.4538471923454912,0.9999999999999998,0.34657117864807696,0.3506710642213271,0.578476969462412,0.2392475449799749,0.3615766071477412,0.2651158463149518,0.3607241621424555,0.7117893771341088,0.41110498030522735,0.398924288188772,0.30425460666300164,0.3546545658901423,0.4177727387293766,0.18018929391935168,0.17989616076978643,0.22778926368320584,0.32407829294272084,0.2466225062069387,0.5217402487905053,0.5606730656358033,0.2634598526885129,0.33427829159791533,0.29805448185423966,0.22132248294299672
closet,0.29433787749862483,0.46380043706734275,0.4503977357725345,0.34657117864807696,1.0,0.4323912366492636,0.429491937820902,0.5063387199096473,0.632639622326399,0.2810277280539102,0.2942409254590974,0.3456355129837707,0.3440788982818085,0.3459849673913993,0.21831706607612467,0.3203629679339105,0.39150251098652533,0.2667149177066841,0.2653010163325489,0.2752084395946932,0.3559186604724147,0.3423382421642054,0.34562220548698286,0.34669430433377135,0.33640385864921263,0.3024604983464284,0.2437523046609653,0.26330953595379514
crib,0.3453171793170453,0.5594351081247114,0.3980817703143107,0.3506710642213271,0.4323912366492636,0.9999999999999998,0.31492917384164565,0.45313218983412706,0.42572592579861857,0.2670100891926802,0.40329417838468096,0.4652615730208792,0.3862450204328476,0.5115469090255714,0.2063019261142246,0.19781603472193987,0.44323972688711044,0.3040458853381731,0.26887218091522114,0.36105710703820815,0.21051567932464832,0.3186247555883419,0.4143856804588908,0.29244447143606944,0.3351096829467204,0.31040388655249584,0.4270902417039293,0.35953355340580617
desk,0.2736078598316365,0.4624799025972317,0.46482097360649854,0.578476969462412,0.429491937820902,0.31492917384164565,1.0,0.4034335318657567,0.4983704481597515,0.31688803707319146,0.27929188466274035,0.40350725914219465,0.41052418919021294,0.39967605985299515,0.29075822722956923,0.3613354155053603,0.3243643118111965,0.19216283134710255,0.29929319444841895,0.22207333326599032,0.3089414079433205,0.3707695106661659,0.46037411142081197,0.6022570785743523,0.2940143222831092,0.33132883066822116,0.2873517288806716,0.2994128106506866
drawer,0.3772909793308443,0.36348071983129127,0.3178112886252573,0.2392475449799749,0.5063387199096473,0.45313218983412706,0.4034335318657567,1.0,0.5784991635121193,0.28630911227131794,0.2602754604569859,0.30126752523239986,0.29237269942835253,0.2982511810610917,0.17728390145150574,0.2510851136182455,0.3233654923764375,0.3269461923704087,0.21764167819806624,0.3013593528475491,0.22570751999478822,0.47705148721303514,0.37172220597931893,0.35979120985052926,0.25246686451405365,0.30741906930977647,0.324620589021124,0.19934488071737022
dresser,0.40843450917005786,0.46322758856081014,0.4026424813798414,0.3615766071477412,0.632639622326399,0.42572592579861857,0.4983704481597515,0.5784991635121193,1.0,0.2884814303447427,0.21453312951765036,0.31081327611004506,0.4286926181339745,0.4176085059945287,0.29269187810371833,0.3762473183270789,0.40616540025995973,0.2922674620746404,0.335775367083195,0.3844001387195639,0.3926097824835464,0.3935089472320348,0.35223643871874244,0.44910891456105717,0.34854939419069164,0.3737802762647112,0.3441308882635533,0.21779889535647912
globe,0.19427755921848233,0.32192806263350815,0.3623595083002309,0.2651158463149518,0.2810277280539102,0.2670100891926802,0.31688803707319146,0.28630911227131794,0.2884814303447427,1.0,0.2182207408332525,0.2647376036837469,0.3240869679159356,0.3225715326482108,0.3137910320485271,0.33150184191682885,0.25391716572340095,0.15255514103559942,0.1729576683526013,0.17563989122019374,0.3453160905890985,0.22159880723341896,0.28552134521104233,0.3400465418809815,0.2696866988641833,0.29033404612002056,0.2645912423340794,0.2974592730524048
hammock,0.18749645153787697,0.40474930133308695,0.3001072863426947,0.3607241621424555,0.2942409254590974,0.40329417838468096,0.27929188466274035,0.2602754604569859,0.21453312951765036,0.2182207408332525,1.0,0.3159058114196649,0.2824612497580774,0.44167806279555255,0.1328498081282724,0.16594009780339003,0.43168234216854917,0.1839656748295737,0.2253350623249848,0.24318103541098002,0.08840686477659876,0.21862946320449184,0.32805374677656873,0.1789557303511251,0.279279392128551,0.2305671585568394,0.3034832058894784,0.224636531336452
highchair,0.24679037862907105,0.29015931529769956,0.39368755571668057,0.7117893771341088,0.3456355129837707,0.4652615730208792,0.40350725914219465,0.30126752523239986,0.31081327611004506,0.2647376036837469,0.3159058114196649,1.0,0.32785191657452084,0.31218537600145857,0.23734400048598736,0.2655187907778851,0.3876130934800215,0.22332939914802308,0.21788174881597122,0.27509795798480674,0.26109784705603956,0.24062636876897203,0.48773605883223325,0.43229741487144624,0.2718272714750496,0.309898223195898,0.33184064984597705,0.1524236989610065
lamp,0.27921803931555966,0.40751154918547194,0.3707953425034951,0.41110498030522735,0.3440788982818085,0.3862450204328476,0.41052418919021294,0.29237269942835253,0.4286926181339745,0.3240869679159356,0.2824612497580774,0.32785191657452084,1.0,0.37406464853631194,0.3816580345164077,0.3730804511797393,0.3842573703784926,0.3281823495910534,0.23533601995429998,0.4023832845106554,0.36345801841804737,0.3116083423505047,0.3917450606328241,0.45375441119336013,0.27966683761758415,0.4301204015880107,0.384070403596686,0.41658086518176307
mattress,0.34073892705709263,0.6947033984681692,0.4158162593519419,0.398924288188772,0.3459849673913993,0.5115469090255714,0.39967605985299515,0.2982511810610917,0.4176085059945287,0.3225715326482108,0.44167806279555255,0.31218537600145857,0.37406464853631194,1.0,0.23958536184113344,0.2511744493939517,0.49411614077167,0.24992109928639528,0.3115422857449368,0.358811342650011,0.22207796390034795,0.33517413277449215,0.38931402931939374,0.35544992129803243,0.3455365532068684,0.29503740597453354,0.32413784532202106,0.3516024901189203
mirror,0.3029771382418591,0.31011833597932337,0.27837658605350013,0.30425460666300164,0.21831706607612467,0.2063019261142246,0.29075822722956923,0.17728390145150574,0.29269187810371833,0.3137910320485271,0.1328498081282724,0.23734400048598736,0.3816580345164077,0.23958536184113344,1.0,0.5088795890145055,0.29002648786158725,0.19660512481594794,0.26653423063587467,0.1485487421239695,0.3536336430542424,0.18295493446917543,0.24675380957157111,0.24048081412044642,0.20285268895994335,0.27280989888859886,0.2356532997316514,0.29356151069650127
picture,0.32610132328984465,0.33838933540577076,0.3812222111216741,0.3546545658901423,0.3203629679339105,0.19781603472193987,0.3613354155053603,0.2510851136182455,0.3762473183270789,0.33150184191682885,0.16594009780339003,0.2655187907778851,0.3730804511797393,0.2511744493939517,0.5088795890145055,1.0,0.2951743674702385,0.23356498644884938,0.30456565640605393,0.17655480408731306,0.38078383400380755,0.31984793303233217,0.2763329483946275,0.4540958090774322,0.21420670321052993,0.24749710355363774,0.24536519973603088,0.30206876796095905
pillow,0.2983045598586058,0.5325971050224931,0.40381121791128627,0.4177727387293766,0.39150251098652533,0.44323972688711044,0.3243643118111965,0.3233654923764375,0.40616540025995973,0.25391716572340095,0.43168234216854917,0.3876130934800215,0.3842573703784926,0.49411614077167,0.29002648786158725,0.2951743674702385,1.0,0.3119471409969944,0.2432380837956648,0.38348114201315986,0.2827827960506861,0.3218004782414279,0.30789078081869703,0.3411805337236986,0.2481722481868026,0.3588552882824545,0.3811257538945243,0.27691458579966155
plunger,0.4039735687013506,0.2727308911318249,0.20405118317348125,0.18018929391935168,0.2667149177066841,0.3040458853381731,0.19216283134710255,0.3269461923704087,0.2922674620746404,0.15255514103559942,0.1839656748295737,0.22332939914802308,0.3281823495910534,0.24992109928639528,0.19660512481594794,0.23356498644884938,0.3119471409969944,1.0,0.16713987357861138,0.3107566365496698,0.2588271478622035,0.29772366135082695,0.3643823168723821,0.16742402700704517,0.2897225575371718,0.40298243510880716,0.2731914411729014,0.18618074542975283
safe,0.2839533868308848,0.3265428933073933,0.3129300287111897,0.17989616076978643,0.2653010163325489,0.26887218091522114,0.29929319444841895,0.21764167819806624,0.335775367083195,0.1729576683526013,0.2253350623249848,0.21788174881597122,0.23533601995429998,0.3115422857449368,0.26653423063587467,0.30456565640605393,0.2432380837956648,0.16713987357861138,1.0,0.035261013031216426,0.20158920539502778,0.2992596160053467,0.18374787440360507,0.2892698108783638,0.17891253068220414,0.1338381004675282,0.17532996483457608,0.2540652114118438
sewing machine,0.25182881996077733,0.3081390747718098,0.3494751233121707,0.22778926368320584,0.2752084395946932,0.36105710703820815,0.22207333326599032,0.3013593528475491,0.3844001387195639,0.17563989122019374,0.24318103541098002,0.27509795798480674,0.4023832845106554,0.358811342650011,0.1485487421239695,0.17655480408731306,0.38348114201315986,0.3107566365496698,0.035261013031216426,0.9999999999999998,0.18314014780871912,0.25310347381749554,0.3104352209779633,0.217118737074662,0.45260385102706346,0.21452368695279722,0.2773245286653774,0.25216335747275376
statue,0.373509493459136,0.23613923584235486,0.3740509138120821,0.32407829294272084,0.3559186604724147,0.21051567932464832,0.3089414079433205,0.22570751999478822,0.3926097824835464,0.3453160905890985,0.08840686477659876,0.26109784705603956,0.36345801841804737,0.22207796390034795,0.3536336430542424,0.38078383400380755,0.2827827960506861,0.2588271478622035,0.20158920539502778,0.18314014780871912,1.0,0.20922352673068467,0.250741391920541,0.29421729991719525,0.1393150446293353,0.3390079513887416,0.349975799331832,0.12875080617106305
stocking,0.44494668062093945,0.33781894351310227,0.31966885667210265,0.2466225062069387,0.3423382421642054,0.3186247555883419,0.3707695106661659,0.47705148721303514,0.3935089472320348,0.22159880723341896,0.21862946320449184,0.24062636876897203,0.3116083423505047,0.33517413277449215,0.18295493446917543,0.31984793303233217,0.3218004782414279,0.29772366135082695,0.2992596160053467,0.25310347381749554,0.20922352673068467,1.0,0.3387266677373937,0.34596089582500633,0.18974676540949043,0.31688555418514863,0.41792098610453576,0.19986479711564098
stool,0.35904227711473147,0.3885940579200571,0.42048086307765264,0.5217402487905053,0.34562220548698286,0.4143856804588908,0.46037411142081197,0.37172220597931893,0.35223643871874244,0.28552134521104233,0.32805374677656873,0.48773605883223325,0.3917450606328241,0.38931402931939374,0.24675380957157111,0.2763329483946275,0.30789078081869703,0.3643823168723821,0.18374787440360507,0.3104352209779633,0.250741391920541,0.3387266677373937,0.9999999999999998,0.44178989316791095,0.33126728667953187,0.387217869091413,0.3054756601181333,0.2837507952805458
table,0.27260572551425755,0.41201704827325014,0.4794567175684519,0.5606730656358033,0.34669430433377135,0.29244447143606944,0.6022570785743523,0.35979120985052926,0.44910891456105717,0.3400465418809815,0.1789557303511251,0.43229741487144624,0.45375441119336013,0.35544992129803243,0.24048081412044642,0.4540958090774322,0.3411805337236986,0.16742402700704517,0.2892698108783638,0.217118737074662,0.29421729991719525,0.34596089582500633,0.44178989316791095,1.0,0.21231594457707237,0.3403262447876759,0.26368276641275057,0.3038100114513427
treadmill,0.24599094165682134,0.31195760689317353,0.3972332796103556,0.2634598526885129,0.33640385864921263,0.3351096829467204,0.2940143222831092,0.25246686451405365,0.34854939419069164,0.2696866988641833,0.279279392128551,0.2718272714750496,0.27966683761758415,0.3455365532068684,0.20285268895994335,0.21420670321052993,0.2481722481868026,0.2897225575371718,0.17891253068220414,0.45260385102706346,0.1393150446293353,0.18974676540949043,0.33126728667953187,0.21231594457707237,1.0,0.19449592321248987,0.08139508649362204,0.2747696243132709
vase,0.37964863234092117,0.2720026502512284,0.25608088365907067,0.33427829159791533,0.3024604983464284,0.31040388655249584,0.33132883066822116,0.30741906930977647,0.3737802762647112,0.29033404612002056,0.2305671585568394,0.309898223195898,0.4301204015880107,0.29503740597453354,0.27280989888859886,0.24749710355363774,0.3588552882824545,0.40298243510880716,0.1338381004675282,0.21452368695279722,0.3390079513887416,0.31688555418514863,0.387217869091413,0.3403262447876759,0.19449592321248987,1.0,0.42041461462716234,0.2668087656087388
wreath,0.41279240349622537,0.2576937875555295,0.21691506707828512,0.29805448185423966,0.2437523046609653,0.4270902417039293,0.2873517288806716,0.324620589021124,0.3441308882635533,0.2645912423340794,0.3034832058894784,0.33184064984597705,0.384070403596686,0.32413784532202106,0.2356532997316514,0.24536519973603088,0.3811257538945243,0.2731914411729014,0.17532996483457608,0.2773245286653774,0.349975799331832,0.41792098610453576,0.3054756601181333,0.26368276641275057,0.08139508649362204,0.42041461462716234,1.0,0.23100383143655023
radio,0.265655986163597,0.4119147914076644,0.3228624989328108,0.22132248294299672,0.26330953595379514,0.35953355340580617,0.2994128106506866,0.19934488071737022,0.21779889535647912,0.2974592730524048,0.224636531336452,0.1524236989610065,0.41658086518176307,0.3516024901189203,0.29356151069650127,0.30206876796095905,0.27691458579966155,0.18618074542975283,0.2540652114118438,0.25216335747275376,0.12875080617106305,0.19986479711564098,0.2837507952805458,0.3038100114513427,0.2747696243132709,0.2668087656087388,0.23100383143655023,1.0
