,alligator,ant,butterfly,caterpillar,chick,crab,dinosaur,dragon,duck,eel,fish,fly,frog,jellyfish,lizard,lobster,mosquito,moth,octopus,ostrich,owl,peacock,penguin,rooster,scorpion,seahorse,shark,snail,snake,spider,turkey,turtle,worm,dove,dragonfly,flamingo,goldfish,hummingbird,ladybug,pigeons,seagulls,swan,woodpecker
alligator,1.0,0.25608552948625773,0.2798406172129322,0.2871713489678467,0.27264336953554236,0.3708801035347805,0.4550508428682294,0.314259125246945,0.42588595473649704,0.49330633516113265,0.4112130116631043,0.33806318064199536,0.4630395557834166,0.3472105907590498,0.4934201893754109,0.34496396243717786,0.357252550860929,0.3434919819745167,0.38269749226946526,0.39373490872886296,0.3691408634338047,0.2785716795469244,0.3576945724437637,0.2608876962183653,0.34229039328230737,0.34785992079444217,0.44732141319216945,0.28309280497321176,0.4979863086389691,0.3258113023729259,0.22373824669159292,0.4477027750095386,0.3565148468129774,0.23077017410013168,0.32072917248309063,0.3662262040427068,0.274702189101115,0.39009467342381265,0.25390884610855247,0.2613465063280007,0.32748378269774003,0.31523708657284955,0.31179804814255774
ant,0.25608552948625773,1.0,0.32391130878149843,0.32611677362429137,0.33102529365704725,0.35660067400146134,0.379937312312729,0.313541872992657,0.23781402286308562,0.26407431463264663,0.25401559243258254,0.3116687463211888,0.32236521990364064,0.3866965439533816,0.3400651659889512,0.2498197958202597,0.4365417561195002,0.36785179378242017,0.3279052874122552,0.383802343404653,0.3063713586213246,0.2798727709979588,0.2938755569922793,0.3128497545789568,0.23972652345594603,0.2851060178310144,0.3191649669699963,0.38564778806467226,0.3245415393076396,0.42024025975172075,0.3698665639671296,0.33483509413114376,0.42602101391402714,0.31288714766159365,0.35879780037737885,0.3019341536915272,0.2441579355655339,0.32812935268696874,0.36386754011926115,0.34949078406434153,0.30462945096379057,0.23123409231809733,0.3522972860514051
butterfly,0.2798406172129322,0.32391130878149843,1.0,0.5744318185324175,0.34763794036376194,0.2766590043914293,0.31858723746616635,0.3626357345620257,0.31787187619458557,0.29955858453047535,0.307017065699841,0.5321350261217139,0.39149455232825514,0.26682677162531054,0.2397567639139211,0.25141167482446236,0.44853289521939343,0.5969789311434626,0.3202582684692763,0.27772657323312644,0.3531266272612179,0.3950840522393415,0.44715381023846834,0.4246189751999553,0.3140799040874219,0.3089535028497361,0.40310019701758004,0.3470261263106782,0.35214469417053285,0.44813648012143925,0.18022307950240457,0.30341039827912497,0.3661698177993138,0.34069058029173427,0.5844214996964839,0.3968373595110646,0.29816290060383044,0.4598349573539444,0.4441107002010193,0.316110632228333,0.2871767038532089,0.4312336470343916,0.3751084635102522
caterpillar,0.2871713489678467,0.32611677362429137,0.5744318185324175,1.0,0.29439552274176584,0.2988503685081956,0.32016041178106003,0.3678839586928344,0.29000926621017675,0.3420836047875523,0.30580704977912343,0.3714099333506812,0.4638988145225489,0.27618254560447875,0.37412879743557204,0.24170178401399234,0.3482609946292904,0.5967543769449669,0.2866517047846855,0.31288392263774223,0.3793324612104002,0.27333394219325646,0.32587015636133243,0.3941609541849673,0.33975291367019833,0.25049183960369814,0.25269636970849263,0.40449432764149407,0.3728962894466449,0.41395065942486653,0.20042729031602358,0.33714125842089127,0.4945862662416267,0.24864375624090873,0.5190896835707778,0.32781587447355,0.29464159339349427,0.31252902557567375,0.4179618348980274,0.34664238815843673,0.2765509014456671,0.3179356107997233,0.4373425419269297
chick,0.27264336953554236,0.33102529365704725,0.34763794036376194,0.29439552274176584,0.9999999999999998,0.3008814123882302,0.36483114020187335,0.4136540512029764,0.41281314582039985,0.19337747782101977,0.36721208688174856,0.36271968472913896,0.37849541754728677,0.12424749369697186,0.3892777758833881,0.2248460450481582,0.24484625813735839,0.25666783745183575,0.22445007720846344,0.3744020550196059,0.33882036602810195,0.3883764537873846,0.44240049638284296,0.5252787701489792,0.2883987597783195,0.30786229629425943,0.23427552621077996,0.313943202771352,0.37674335159379635,0.3541985666187679,0.38008098006349034,0.3381434840043256,0.2813836157737143,0.2848472250840657,0.26730640964179364,0.37966140620557487,0.2001101502563677,0.39403786125923845,0.2801258636965116,0.41295461369123787,0.2971665362532814,0.3776183153469006,0.4117727213055449
crab,0.3708801035347805,0.35660067400146134,0.2766590043914293,0.2988503685081956,0.3008814123882302,1.0,0.3496457691673458,0.44569031422923566,0.30032986532646744,0.39885704041595593,0.4684099727664963,0.25927345331591567,0.37472669380710955,0.3941643268268147,0.40691636077142457,0.6546572048390555,0.35633401794892816,0.22540431728313282,0.4125789984279422,0.30054904734958976,0.14623061027373174,0.26345853439115796,0.3476124731316965,0.31071556311856574,0.44736736054879,0.4095634339301787,0.40783260450524383,0.30897441727230435,0.3693809982994969,0.3615641871622395,0.25579571166709214,0.3777108132262491,0.2953352051000022,0.21936848285305766,0.24810768353613888,0.27296205103696425,0.318775467908629,0.19657027049986797,0.27510396622718125,0.282545647583649,0.3086478703468314,0.26177791524100535,0.27156208922037073
dinosaur,0.4550508428682294,0.379937312312729,0.31858723746616635,0.32016041178106003,0.36483114020187335,0.3496457691673458,1.0,0.42962004678136834,0.3484102080461464,0.32017436839448654,0.3133721190904937,0.2844756358459737,0.31730969593264835,0.30767909565401963,0.564463288106347,0.35575788018350607,0.3332071477609706,0.3609622536073893,0.33864213731936055,0.43114319882047303,0.33095743246796494,0.32927045052354575,0.38607812046902157,0.2965266300386614,0.2538432594904092,0.33391972129388636,0.3913532683275347,0.21687424578838232,0.3347811554757818,0.36366166203809125,0.31817143354739996,0.37175402585126416,0.27583327379016054,0.11674519051752208,0.37982541619177546,0.3628928442140271,0.2789452880215435,0.30046382350376755,0.29675048007462923,0.2893060941962522,0.3148940287475519,0.3156749729472408,0.34840892965363657
dragon,0.314259125246945,0.313541872992657,0.3626357345620257,0.3678839586928344,0.4136540512029764,0.44569031422923566,0.42962004678136834,1.0,0.3189387734373006,0.36469065381501153,0.3933621602108135,0.4026486614375213,0.37861511015968907,0.2788797764283102,0.5173646937725522,0.24421450353760443,0.3009014200850486,0.3185928794167132,0.36542073461663493,0.30865660612138546,0.35457231283913004,0.3680803279457556,0.3856484664764819,0.430324588758091,0.4528698887951885,0.36718635677362255,0.4591629517221423,0.25057318194690836,0.4795942014140562,0.38395995200104494,0.3189617437242769,0.42552683044616246,0.31669246182509503,0.2272210127965103,0.4647484703924164,0.3970125095755779,0.24817339577339803,0.33770802943695966,0.27000329258968137,0.29795651582397853,0.17969157592331508,0.34556954956539154,0.3466637072510097
duck,0.42588595473649704,0.23781402286308562,0.31787187619458557,0.29000926621017675,0.41281314582039985,0.30032986532646744,0.3484102080461464,0.3189387734373006,1.0,0.336540761215945,0.3986661750049656,0.3698567166648352,0.41659892825554423,0.2210371567664151,0.30760306801844717,0.3266893378330923,0.2898451819091252,0.32688412306824177,0.2887243849272949,0.3498870716396676,0.317215326299774,0.3763503996811499,0.3481098484521111,0.39391914143099704,0.23624695432452048,0.1778865037372912,0.38711703896058824,0.300406405824869,0.35627669198590317,0.3716694616354339,0.3071826815784855,0.3616251898547762,0.23162090467809016,0.2443553336698615,0.279275486935188,0.2850405409308614,0.2733493962325886,0.30806467370599244,0.20929623352829996,0.39677989335853825,0.3305236712427979,0.48561647302037825,0.4328686871849523
eel,0.49330633516113265,0.26407431463264663,0.29955858453047535,0.3420836047875523,0.19337747782101977,0.39885704041595593,0.32017436839448654,0.36469065381501153,0.336540761215945,1.0,0.5182415361887451,0.22291489236011275,0.4073521888319762,0.547402321530795,0.3132669483577828,0.4341625326702119,0.3124896796264074,0.3612623144089424,0.5864079073722412,0.4489919277326282,0.34994515443116336,0.40741792527997656,0.28066698895767783,0.2816595204310821,0.36275390028103227,0.4941622738460374,0.4784995702241359,0.39542340205786664,0.43112052337924656,0.33386698860447483,0.2370799645817856,0.35816063360556216,0.38515172800624986,0.19983583728162013,0.37912109950076445,0.3144517824811378,0.33618784078666797,0.2805038898541927,0.2600638503821673,0.24445132737906494,0.4275984547548374,0.3860783579775825,0.3317657292290961
fish,0.4112130116631043,0.25401559243258254,0.307017065699841,0.30580704977912343,0.36721208688174856,0.4684099727664963,0.3133721190904937,0.3933621602108135,0.3986661750049656,0.5182415361887451,1.0,0.3694096818788575,0.4198267853774117,0.4012150553266216,0.3452267219459677,0.3927704768904279,0.36762462125342066,0.2304663806506273,0.42867592133975985,0.3001503821609466,0.26020129508162904,0.4146692254379063,0.41082666542900736,0.38844931373205627,0.28287502275566845,0.41702694739885116,0.5343008454336964,0.39702061329894534,0.45576735450501515,0.34439843025409345,0.355518350938961,0.42786783866698386,0.36797881777484154,0.26134573868764877,0.2457193474545578,0.22632649796627546,0.6582385890548169,0.29945714711935534,0.1835577845257489,0.4302212480419991,0.44281680156652325,0.32587395403824226,0.29169461762153737
fly,0.33806318064199536,0.3116687463211888,0.5321350261217139,0.3714099333506812,0.36271968472913896,0.25927345331591567,0.2844756358459737,0.4026486614375213,0.3698567166648352,0.22291489236011275,0.3694096818788575,1.0,0.378200931612546,0.23302384787524688,0.2855668694435789,0.2446896657696085,0.3353643655590781,0.45178019756883403,0.24561697764586632,0.36081787166382284,0.33955190713963657,0.366901895449542,0.3674727376818381,0.3454216748774219,0.2787557688999591,0.3221232046850603,0.35284782431871364,0.36820264261816227,0.36081786448094366,0.40510030197921476,0.28777329467112345,0.36230499107225866,0.41202865960412327,0.20163654311451118,0.48874185368702383,0.3771708496804691,0.23898933563533598,0.4405626186574185,0.24215140352256992,0.3860650489055245,0.36603664069865993,0.33953069498217747,0.3806146173251932
frog,0.4630395557834166,0.32236521990364064,0.39149455232825514,0.4638988145225489,0.37849541754728677,0.37472669380710955,0.31730969593264835,0.37861511015968907,0.41659892825554423,0.4073521888319762,0.4198267853774117,0.378200931612546,0.9999999999999999,0.30623820690212566,0.4842712698571816,0.30425243735229324,0.4141678923252756,0.3847962675224442,0.3302774074045083,0.333638125269731,0.4098666408628483,0.33569092803364753,0.4694414417952346,0.37109345165304464,0.35277432139341824,0.3907700463407908,0.33440834334465364,0.3974069607034275,0.4505387600137649,0.458461307948308,0.2512352203619008,0.5018994054962603,0.43129512652285373,0.20799291259969932,0.33357369170690476,0.3902222313895072,0.3613554367617344,0.4023755752665761,0.30099289830097464,0.3298206514339117,0.2856240802316532,0.27814164118771423,0.4054324194639851
jellyfish,0.3472105907590498,0.3866965439533816,0.26682677162531054,0.27618254560447875,0.12424749369697186,0.3941643268268147,0.30767909565401963,0.2788797764283102,0.2210371567664151,0.547402321530795,0.4012150553266216,0.23302384787524688,0.30623820690212566,0.9999999999999998,0.30637174009993595,0.44658893278205614,0.40871628579724995,0.2778053162537458,0.5860403119064095,0.3339950029777313,0.3329790806456949,0.2750596664555287,0.24304017296633174,0.1481994009974471,0.3873322236574701,0.4507110468658584,0.4098426744236543,0.41191673703184684,0.32472677207229883,0.2931991499555615,0.2428109321080254,0.3768215192097677,0.366606217174255,0.20705964494032836,0.3546501340100161,0.27209337199758354,0.2912497488911885,0.2912199987825488,0.3151814416169907,0.26403672526913313,0.3928192476389075,0.2254026930882681,0.27923638243941884
lizard,0.4934201893754109,0.3400651659889512,0.2397567639139211,0.37412879743557204,0.3892777758833881,0.40691636077142457,0.564463288106347,0.5173646937725522,0.30760306801844717,0.3132669483577828,0.3452267219459677,0.2855668694435789,0.4842712698571816,0.30637174009993595,1.0,0.35828488722116547,0.37142447351185137,0.36536416975017594,0.29367949143021943,0.3599566145516505,0.3279103267949883,0.3684880124468668,0.3215345405503405,0.28918406821546727,0.3752427918599843,0.3026651001875995,0.31799474087696544,0.21228702271308575,0.4689230277486631,0.41186833675357293,0.22001832067356797,0.4793304567716763,0.3680381137727955,0.19878893159228817,0.389544627307181,0.3677009850052506,0.2646274426095905,0.2862734896334449,0.32391912326618433,0.24053752820009133,0.21610080010053456,0.24481455116428175,0.3265609861815433
lobster,0.34496396243717786,0.2498197958202597,0.25141167482446236,0.24170178401399234,0.2248460450481582,0.6546572048390555,0.35575788018350607,0.24421450353760443,0.3266893378330923,0.4341625326702119,0.3927704768904279,0.2446896657696085,0.30425243735229324,0.44658893278205614,0.35828488722116547,1.0,0.3838357386569963,0.24649937982761527,0.41865624885412744,0.2890468605919736,0.25936452591017134,0.27940506741254567,0.31278102798222407,0.2323138454609308,0.35376196347116695,0.36484615493794337,0.3052360979219404,0.29236528724150124,0.2524136996941325,0.2564636145286999,0.2635088946195654,0.3332406568783943,0.2560262368345956,0.15928978057290955,0.3145613955677967,0.26584375354864265,0.33957954055285966,0.2569990221328069,0.22682629645154317,0.25513883211872246,0.2927614021299545,0.3102547173604324,0.2572335782092441
mosquito,0.357252550860929,0.4365417561195002,0.44853289521939343,0.3482609946292904,0.24484625813735839,0.35633401794892816,0.3332071477609706,0.3009014200850486,0.2898451819091252,0.3124896796264074,0.36762462125342066,0.3353643655590781,0.4141678923252756,0.40871628579724995,0.37142447351185137,0.3838357386569963,1.0,0.44569851557504603,0.30885331576290986,0.2828915161054455,0.3042112476404426,0.396790073144361,0.30838855952667676,0.4083013783682842,0.37218565498323275,0.3304375089608853,0.3411403587398716,0.2735273852559571,0.27185620139932776,0.3987911863916298,0.24735463641295607,0.30402047500799056,0.34781924964081723,0.2965023234448674,0.5409281119960625,0.31763053941549413,0.2753932317609732,0.443316716967155,0.42834913426236887,0.28507581072638266,0.2866348947247438,0.30384077895999595,0.37100194184235047
moth,0.3434919819745167,0.36785179378242017,0.5969789311434626,0.5967543769449669,0.25666783745183575,0.22540431728313282,0.3609622536073893,0.3185928794167132,0.32688412306824177,0.3612623144089424,0.2304663806506273,0.45178019756883403,0.3847962675224442,0.2778053162537458,0.36536416975017594,0.24649937982761527,0.44569851557504603,0.9999999999999999,0.2519717009304431,0.3238808084788458,0.447133507995905,0.3316184783252518,0.35660928096569666,0.27479499199102486,0.2229936807544144,0.2606451020679774,0.28116059005710436,0.3641504341326459,0.3539036109157683,0.44472076957457807,0.19362160361193537,0.2525323150716864,0.45583295851909833,0.3016679829019322,0.5504172847995854,0.3315747091219383,0.2195668028995892,0.42717625287703886,0.4512458542325919,0.27270870878027853,0.2954354993005571,0.28698879832019475,0.4672030297307552
octopus,0.38269749226946526,0.3279052874122552,0.3202582684692763,0.2866517047846855,0.22445007720846344,0.4125789984279422,0.33864213731936055,0.36542073461663493,0.2887243849272949,0.5864079073722412,0.42867592133975985,0.24561697764586632,0.3302774074045083,0.5860403119064095,0.29367949143021943,0.41865624885412744,0.30885331576290986,0.2519717009304431,0.9999999999999998,0.4499684924728735,0.4031002457322731,0.40474485771700897,0.36158371416759794,0.251257068140194,0.4118331632041097,0.5329313328268167,0.45523090272760713,0.47065592564491077,0.43143689362597804,0.3978116891105755,0.2529880857693232,0.4157112736101949,0.2621781955960468,0.2803797827905199,0.3389462677841053,0.40034367668520154,0.3654018357598161,0.37634365546472215,0.35632716610950443,0.3066142364672182,0.4126422144668147,0.33457488527066837,0.24733606816950982
ostrich,0.39373490872886296,0.383802343404653,0.27772657323312644,0.31288392263774223,0.3744020550196059,0.30054904734958976,0.43114319882047303,0.30865660612138546,0.3498870716396676,0.4489919277326282,0.3001503821609466,0.36081787166382284,0.333638125269731,0.3339950029777313,0.3599566145516505,0.2890468605919736,0.2828915161054455,0.3238808084788458,0.4499684924728735,1.0,0.4261115704092173,0.5314353656312352,0.44301035235762853,0.40164956770657767,0.3056280161637114,0.4262201492451645,0.27161873079779,0.35901267189962915,0.2923214922374874,0.36788607158238973,0.40672694594407366,0.35426062239980205,0.30584550328711413,0.2694280948304024,0.27937490457489456,0.4492091666693433,0.23836919361413356,0.4747912226500858,0.22561576937099315,0.40901015656549233,0.5134395563618209,0.35080156723601386,0.4692789656726075
owl,0.3691408634338047,0.3063713586213246,0.3531266272612179,0.3793324612104002,0.33882036602810195,0.14623061027373174,0.33095743246796494,0.35457231283913004,0.317215326299774,0.34994515443116336,0.26020129508162904,0.33955190713963657,0.4098666408628483,0.3329790806456949,0.3279103267949883,0.25936452591017134,0.3042112476404426,0.447133507995905,0.4031002457322731,0.4261115704092173,1.0,0.39723765073201867,0.4500641743262572,0.38581787314730787,0.30933128271705135,0.3205642554416288,0.288477929132415,0.3161280128161028,0.3654396785726943,0.3692825004681981,0.284796446239002,0.41594869103008136,0.23298636371685133,0.3144036873203546,0.38211892330679653,0.3522963287865085,0.2827656113111374,0.47779186542158625,0.2414895829483743,0.46393032998876826,0.3996589847834111,0.38224067271946893,0.4976976796210535
