,attic,bathroom,brick,cabinets,ceiling,chimney,curtains,door,faucet,fence,fireplace,garage,gate,kitchen,light switch,mailbox,roof,shower,sink,tile,toilet,window,chandelier,elevator
attic,1.0,0.3361738768769815,0.3412780348486246,0.4202947568876667,0.5414546324472667,0.49444423032043083,0.3691298328901511,0.4093036400624319,0.27711425612840923,0.29318164205949704,0.44171856223471906,0.4571894414123283,0.326456474097534,0.3358168466495164,0.27020643086606977,0.3478878739097675,0.5383453880290466,0.24779243577916465,0.4036289940218808,0.25037347363655316,0.3444025701133011,0.33764463915996945,0.46645284818757426,0.28856877877377607
bathroom,0.3361738768769815,0.9999999999999998,0.3124339499623423,0.35178231484648037,0.3863902405419922,0.28892007518349305,0.3709054418448996,0.4866603428375662,0.4673451411627283,0.31372303350220276,0.3585081370215474,0.39085781958669363,0.335510028370547,0.5384223497316072,0.3820914767875323,0.33848861793717755,0.3135549929526904,0.44910838302946754,0.5011263589603302,0.4526063818572049,0.574793486756484,0.42186587519178465,0.33447029603205514,0.3739754694411318
brick,0.3412780348486246,0.3124339499623423,1.0,0.2875765436893015,0.2843436637034569,0.5107393684873971,0.2906870816111329,0.44952844405727743,0.2632252196705436,0.37100413698260926,0.46853664182933874,0.3369499680043728,0.30342263915027656,0.26407049504124624,0.32641389056459325,0.3525970979606542,0.3788933218144902,0.2197576562692739,0.3237184195863344,0.4046721913631517,0.3777351682986656,0.3444831342983874,0.4121415583529552,0.36627402553961064
cabinets,0.4202947568876667,0.35178231484648037,0.2875765436893015,0.9999999999999998,0.44755557208201224,0.3232751927570541,0.3892390258723307,0.3982806831091995,0.2396524518324954,0.2870964877867871,0.32568172361409675,0.3946709764370677,0.30124511396984777,0.48262508325043785,0.2941274290027287,0.32763388145015093,0.339120900976416,0.24188312395412048,0.4296798829924565,0.40393569774353677,0.31190573587719994,0.3045210163502784,0.3736449361381585,0.2783778487689976
ceiling,0.5414546324472667,0.3863902405419922,0.2843436637034569,0.44755557208201224,1.0,0.36930085448433203,0.33699310329620413,0.39555759531815715,0.2224034684308981,0.39031666380091146,0.3876232065707945,0.3700338942810557,0.3386852194898129,0.41046893406967333,0.3999184793963445,0.2739416326297912,0.5309777921738392,0.30861944516809614,0.3981119328296736,0.3614748137722048,0.4306708583514125,0.38777886413987184,0.523211670239377,0.36685513481003595
chimney,0.49444423032043083,0.28892007518349305,0.5107393684873971,0.3232751927570541,0.36930085448433203,1.0,0.3666262204411289,0.4808211277554002,0.3026370301116653,0.3619533690515243,0.8361726959056144,0.3097220201349883,0.34538495260453805,0.3080793208774295,0.2709847390354865,0.4015269747557615,0.4840440195443275,0.26518785580280724,0.3471904548619784,0.3336077957731418,0.36093595795023004,0.43405694256190697,0.41014876416319335,0.3397693318333014
curtains,0.3691298328901511,0.3709054418448996,0.2906870816111329,0.3892390258723307,0.33699310329620413,0.3666262204411289,1.0,0.46432769705228283,0.3474761976097689,0.4044398606205861,0.31100019085497843,0.35103858395411236,0.3589692671280853,0.31994582285061823,0.3258775657037787,0.3483613667880734,0.36933834641136554,0.32846168791475105,0.33597105752608236,0.2989192448260819,0.274969049225427,0.5562454576600021,0.4142054226193108,0.2723082979314364
door,0.4093036400624319,0.4866603428375662,0.44952844405727743,0.3982806831091995,0.39555759531815715,0.4808211277554002,0.46432769705228283,1.0,0.40637159258921585,0.48848523738633587,0.44611491758760546,0.36879391314587995,0.6958791820463555,0.3721691983764823,0.3695210434043099,0.47535725608261015,0.4932619790524828,0.3964369220451449,0.4254775067880644,0.3663581353374743,0.4506403118780469,0.5390158690160427,0.4019679100526081,0.4810547198174695
faucet,0.27711425612840923,0.4673451411627283,0.2632252196705436,0.2396524518324954,0.2224034684308981,0.3026370301116653,0.3474761976097689,0.40637159258921585,0.9999999999999998,0.3037605599289632,0.328944562664119,0.26184135720371404,0.32104375760674264,0.3405726415735024,0.29898864622463894,0.3182464919801896,0.2673629676342756,0.44764753401640944,0.5834183698458716,0.3621939935601508,0.4386294666812661,0.31893363989044066,0.2573559828914682,0.2527568456187379
fence,0.29318164205949704,0.31372303350220276,0.37100413698260926,0.2870964877867871,0.39031666380091146,0.3619533690515243,0.4044398606205861,0.48848523738633587,0.3037605599289632,1.0,0.35001897841105767,0.3513042502173066,0.5319628866552062,0.353760837705829,0.268144470752942,0.37129535052233864,0.4500812617024421,0.3400823398717402,0.36077841248398324,0.30685774947937927,0.23619977404644565,0.4856899443923183,0.23901236786506985,0.3054511383864177
fireplace,0.44171856223471906,0.3585081370215474,0.46853664182933874,0.32568172361409675,0.3876232065707945,0.8361726959056144,0.31100019085497843,0.44611491758760546,0.328944562664119,0.35001897841105767,1.0,0.3328352348864706,0.3271083977917256,0.3471835931107957,0.3145589501376327,0.36174799826219695,0.395700856242742,0.3737423377780924,0.35380232334550843,0.3458806572516313,0.3427385309847065,0.41039435635180377,0.4239340225488173,0.3008483740683324
garage,0.4571894414123283,0.39085781958669363,0.3369499680043728,0.3946709764370677,0.3700338942810557,0.3097220201349883,0.35103858395411236,0.36879391314587995,0.26184135720371404,0.3513042502173066,0.3328352348864706,0.9999999999999998,0.25836827853237776,0.4931229248271001,0.22054740415037843,0.2653403373416813,0.4108338097596447,0.36097910475463624,0.27832755110005314,0.25542168863713366,0.31095839314775575,0.38587907815799893,0.26634868288633307,0.3582494460123732
gate,0.326456474097534,0.335510028370547,0.30342263915027656,0.30124511396984777,0.3386852194898129,0.34538495260453805,0.3589692671280853,0.6958791820463555,0.32104375760674264,0.5319628866552062,0.3271083977917256,0.25836827853237776,0.9999999999999998,0.29800463624086604,0.2910774601013997,0.3645591486161899,0.35980924950549253,0.31795941511252424,0.31759076727722246,0.3138121709253776,0.28058591222126894,0.4142308550493352,0.32972623765133946,0.3541274840755829
kitchen,0.3358168466495164,0.5384223497316072,0.26407049504124624,0.48262508325043785,0.41046893406967333,0.3080793208774295,0.31994582285061823,0.3721691983764823,0.3405726415735024,0.353760837705829,0.3471835931107957,0.4931229248271001,0.29800463624086604,0.9999999999999999,0.29124842850631594,0.2706131138341009,0.344279769509507,0.3652854999756583,0.4399988515514046,0.4004964652617061,0.38036056925781025,0.39908634856939074,0.3222578998653227,0.25188145673317575
light switch,0.27020643086606977,0.3820914767875323,0.32641389056459325,0.2941274290027287,0.3999184793963445,0.2709847390354865,0.3258775657037787,0.3695210434043099,0.29898864622463894,0.268144470752942,0.3145589501376327,0.22054740415037843,0.2910774601013997,0.29124842850631594,1.0,0.41107376462499945,0.1424682100178566,0.3355108195014245,0.41120564173193264,0.27565056221635165,0.2831251887466075,0.34898354793907405,0.46443337070438706,0.36666158040356844
mailbox,0.3478878739097675,0.33848861793717755,0.3525970979606542,0.32763388145015093,0.2739416326297912,0.4015269747557615,0.3483613667880734,0.47535725608261015,0.3182464919801896,0.37129535052233864,0.36174799826219695,0.2653403373416813,0.3645591486161899,0.2706131138341009,0.41107376462499945,1.0,0.23512416656653035,0.3263329956868223,0.46412616656706884,0.2975666836693117,0.2491883992759497,0.4139435880585045,0.3011684014297511,0.33992675645221504
roof,0.5383453880290466,0.3135549929526904,0.3788933218144902,0.339120900976416,0.5309777921738392,0.4840440195443275,0.36933834641136554,0.4932619790524828,0.2673629676342756,0.4500812617024421,0.395700856242742,0.4108338097596447,0.35980924950549253,0.344279769509507,0.1424682100178566,0.23512416656653035,1.0,0.3237375408539327,0.38791562098430765,0.3861425175490374,0.3914306052562345,0.47954295734245056,0.38517875709030025,0.3677908799024535
shower,0.24779243577916465,0.44910838302946754,0.2197576562692739,0.24188312395412048,0.30861944516809614,0.26518785580280724,0.32846168791475105,0.3964369220451449,0.44764753401640944,0.3400823398717402,0.3737423377780924,0.36097910475463624,0.31795941511252424,0.3652854999756583,0.3355108195014245,0.3263329956868223,0.3237375408539327,0.9999999999999999,0.4171669602587197,0.30837515380928715,0.3403466900198735,0.3444592653381042,0.2546556508091654,0.268551150283848
sink,0.4036289940218808,0.5011263589603302,0.3237184195863344,0.4296798829924565,0.3981119328296736,0.3471904548619784,0.33597105752608236,0.4254775067880644,0.5834183698458716,0.36077841248398324,0.35380232334550843,0.27832755110005314,0.31759076727722246,0.4399988515514046,0.41120564173193264,0.46412616656706884,0.38791562098430765,0.4171669602587197,1.0,0.48643094723738334,0.49474685673068053,0.39151395415791623,0.3836509096131443,0.3899948654420864
tile,0.25037347363655316,0.4526063818572049,0.4046721913631517,0.40393569774353677,0.3614748137722048,0.3336077957731418,0.2989192448260819,0.3663581353374743,0.3621939935601508,0.30685774947937927,0.3458806572516313,0.25542168863713366,0.3138121709253776,0.4004964652617061,0.27565056221635165,0.2975666836693117,0.3861425175490374,0.30837515380928715,0.48643094723738334,1.0,0.36318938619857155,0.3807392628477586,0.3031345195444093,0.3029562669020238
toilet,0.3444025701133011,0.574793486756484,0.3777351682986656,0.31190573587719994,0.4306708583514125,0.36093595795023004,0.274969049225427,0.4506403118780469,0.4386294666812661,0.23619977404644565,0.3427385309847065,0.31095839314775575,0.28058591222126894,0.38036056925781025,0.2831251887466075,0.2491883992759497,0.3914306052562345,0.3403466900198735,0.49474685673068053,0.36318938619857155,0.9999999999999999,0.24413654774793003,0.3329153569841903,0.33133278077246764
window,0.33764463915996945,0.42186587519178465,0.3444831342983874,0.3045210163502784,0.38777886413987184,0.43405694256190697,0.5562454576600021,0.5390158690160427,0.31893363989044066,0.4856899443923183,0.41039435635180377,0.38587907815799893,0.4142308550493352,0.39908634856939074,0.34898354793907405,0.4139435880585045,0.47954295734245056,0.3444592653381042,0.39151395415791623,0.3807392628477586,0.24413654774793003,0.9999999999999998,0.3117636625639706,0.34928380618791977
chandelier,0.46645284818757426,0.33447029603205514,0.4121415583529552,0.3736449361381585,0.523211670239377,0.41014876416319335,0.4142054226193108,0.4019679100526081,0.2573559828914682,0.23901236786506985,0.4239340225488173,0.26634868288633307,0.32972623765133946,0.3222578998653227,0.46443337070438706,0.3011684014297511,0.38517875709030025,0.2546556508091654,0.3836509096131443,0.3031345195444093,0.3329153569841903,0.3117636625639706,1.0,0.37003470458304355
elevator,0.28856877877377607,0.3739754694411318,0.36627402553961064,0.2783778487689976,0.36685513481003595,0.3397693318333014,0.2723082979314364,0.4810547198174695,0.2527568456187379,0.3054511383864177,0.3008483740683324,0.3582494460123732,0.3541274840755829,0.25188145673317575,0.36666158040356844,0.33992675645221504,0.3677908799024535,0.268551150283848,0.3899948654420864,0.3029562669020238,0.33133278077246764,0.34928380618791977,0.37003470458304355,1.0
