,band aid,brush,comb,deodorant,lipstick,mascara,nail clipper,nail polish,needle,razor,scale,toilet paper,toothbrush,toothpaste,towel,tweezers,mouthwash,shaving cream
band aid,1.0,0.3528626852205634,0.36522520812603454,0.33659192082825096,0.37910251018837093,0.38333252378904104,0.40901324717500054,0.42273679886089965,0.3671862781987185,0.2846865342547711,0.26003758684843403,0.30994825600737697,0.39096172159408216,0.4362636402460067,0.2766803884576394,0.44220262954212863,0.3983919290660358,0.3227282344196576
brush,0.3528626852205634,1.0,0.6176436998399819,0.4325693999016623,0.3843204056778281,0.42217849792286,0.40435559446941294,0.39434730864811496,0.3906510838721027,0.383056840537782,0.31318067341061795,0.3714510358547045,0.7040706543603669,0.5569254513205553,0.2545131228038493,0.41435770111008297,0.4718554687237455,0.4088098193342764
comb,0.36522520812603454,0.6176436998399819,1.0,0.3734952880911663,0.32720859288526327,0.4276937336644191,0.5026844023907286,0.32550866475971474,0.40597692588542467,0.45812189564240346,0.3013354121821691,0.3364600116743497,0.51451232584271,0.4160284696926251,0.35881307515437155,0.5510338601065135,0.32933772014602736,0.4705575685379809
deodorant,0.33659192082825096,0.4325693999016623,0.3734952880911663,1.0,0.3494197968085557,0.3292452657596734,0.3042693253504667,0.4459817070977605,0.18796525193636537,0.2959970039820392,0.24162415461078413,0.4308424584720183,0.4857970304006175,0.4571022660693522,0.29064077067639105,0.3714074050361127,0.4525290529709458,0.4590568123915266
lipstick,0.37910251018837093,0.3843204056778281,0.32720859288526327,0.3494197968085557,1.0,0.5028705202385828,0.3947339615888823,0.5407077485692857,0.2573857063983154,0.2712705891684859,0.22391985462890873,0.26275826424606796,0.40420923060761016,0.4367804426105524,0.21406366388188125,0.3413137697681743,0.4107111316996549,0.4332354985311897
mascara,0.38333252378904104,0.42217849792286,0.4276937336644191,0.3292452657596734,0.5028705202385828,1.0,0.46232484186096,0.4717803896515499,0.3464136276728611,0.2772809071087845,0.25210003824050886,0.3215842692650064,0.4118044574600179,0.3427005014493838,0.23830112016168625,0.4101793863953017,0.32950116328664025,0.392333738565647
nail clipper,0.40901324717500054,0.40435559446941294,0.5026844023907286,0.3042693253504667,0.3947339615888823,0.46232484186096,1.0,0.5971679975589197,0.34285674245628117,0.39361868194407856,0.2152705764182924,0.32774270587174337,0.39003405452120465,0.331139219878106,0.27933881216205636,0.6140871313765682,0.2950709647347678,0.42922043531384846
nail polish,0.42273679886089965,0.39434730864811496,0.32550866475971474,0.4459817070977605,0.5407077485692857,0.4717803896515499,0.5971679975589197,1.0,0.3423752005168099,0.24935554886364364,0.18860832553817852,0.3095834069086022,0.41727813543964976,0.47030413144452,0.29556207217327235,0.3390520701258819,0.3888930580164417,0.4586876514358512
needle,0.3671862781987185,0.3906510838721027,0.40597692588542467,0.18796525193636537,0.2573857063983154,0.3464136276728611,0.34285674245628117,0.3423752005168099,0.9999999999999999,0.3196154116271158,0.35353816070602495,0.2715925373397088,0.34672713112529374,0.352021302619848,0.23545098385100993,0.4324875200456533,0.2681596110591563,0.26253505872391525
razor,0.2846865342547711,0.383056840537782,0.45812189564240346,0.2959970039820392,0.2712705891684859,0.2772809071087845,0.39361868194407856,0.24935554886364364,0.3196154116271158,1.0,0.3108248763302546,0.30335553453296105,0.38533803353111895,0.3398060533232339,0.24689111443222567,0.4104251758671076,0.19761489167657453,0.5297018468980069
scale,0.26003758684843403,0.31318067341061795,0.3013354121821691,0.24162415461078413,0.22391985462890873,0.25210003824050886,0.2152705764182924,0.18860832553817852,0.35353816070602495,0.3108248763302546,1.0,0.29120793641594656,0.3047617969886919,0.27276218788921636,0.20283962057384386,0.2612029577338122,0.2191243883098436,0.21020532205718057
toilet paper,0.30994825600737697,0.3714510358547045,0.3364600116743497,0.4308424584720183,0.26275826424606796,0.3215842692650064,0.32774270587174337,0.3095834069086022,0.2715925373397088,0.30335553453296105,0.29120793641594656,1.0,0.48322919047031043,0.424264507464015,0.43583675459438154,0.34544337496374156,0.3205406169177947,0.4781960174503299
toothbrush,0.39096172159408216,0.7040706543603669,0.51451232584271,0.4857970304006175,0.40420923060761016,0.4118044574600179,0.39003405452120465,0.41727813543964976,0.34672713112529374,0.38533803353111895,0.3047617969886919,0.48322919047031043,0.9999999999999998,0.6189988225483282,0.33209906262136024,0.42653933720454795,0.5846536974028468,0.4208721829158173
toothpaste,0.4362636402460067,0.5569254513205553,0.4160284696926251,0.4571022660693522,0.4367804426105524,0.3427005014493838,0.331139219878106,0.47030413144452,0.352021302619848,0.3398060533232339,0.27276218788921636,0.424264507464015,0.6189988225483282,0.9999999999999998,0.2799033763044312,0.38863336758535816,0.587895589951794,0.4841988130866164
towel,0.2766803884576394,0.2545131228038493,0.35881307515437155,0.29064077067639105,0.21406366388188125,0.23830112016168625,0.27933881216205636,0.29556207217327235,0.23545098385100993,0.24689111443222567,0.20283962057384386,0.43583675459438154,0.33209906262136024,0.2799033763044312,1.0,0.32050056087514545,0.25232700706563294,0.33355319759784285
tweezers,0.44220262954212863,0.41435770111008297,0.5510338601065135,0.3714074050361127,0.3413137697681743,0.4101793863953017,0.6140871313765682,0.3390520701258819,0.4324875200456533,0.4104251758671076,0.2612029577338122,0.34544337496374156,0.42653933720454795,0.38863336758535816,0.32050056087514545,0.9999999999999998,0.2951631092171719,0.35740889721226354
mouthwash,0.3983919290660358,0.4718554687237455,0.32933772014602736,0.4525290529709458,0.4107111316996549,0.32950116328664025,0.2950709647347678,0.3888930580164417,0.2681596110591563,0.19761489167657453,0.2191243883098436,0.3205406169177947,0.5846536974028468,0.587895589951794,0.25232700706563294,0.2951631092171719,1.0,0.42466370093906214
shaving cream,0.3227282344196576,0.4088098193342764,0.4705575685379809,0.4590568123915266,0.4332354985311897,0.392333738565647,0.42922043531384846,0.4586876514358512,0.26253505872391525,0.5297018468980069,0.21020532205718057,0.4781960174503299,0.4208721829158173,0.4841988130866164,0.33355319759784285,0.35740889721226354,0.42466370093906214,1.0
