,vehicles,ambulance,blimp,bus,canoe,car,helicopter,hot air balloon,jeep,motorcycle,parachute,rocket,roller coaster,skateboard,sled,stroller,submarine,tank,tractor,train,truck,unicycle,van,wheelchair,golf cart
vehicles,0.9999999999999998,0.30469343788919523,0.30422589277504564,0.336316393088392,0.2290326322628845,0.5936130055426065,0.33728392978167565,0.24081683088022365,0.38209051159093654,0.477468508798208,0.34230188334809697,0.3470833036822627,0.195601216106424,0.3656747465628656,0.3054341479075594,0.3123273589187723,0.2190978506042225,0.4371392241289649,0.42260877914510697,0.2832245235267494,0.5942969542714531,0.3444826606014847,0.33940414040901445,0.40929986991379386,0.3589582709855035
ambulance,0.30469343788919523,1.0,0.3250909931286261,0.24210970391213493,0.242866573655669,0.24860226635841953,0.3402710000664677,0.2755317069540788,0.28504999364460937,0.33227054310789317,0.327030738478733,0.22875650558038552,0.2706882053859575,0.24864345540161392,0.25659263881315475,0.1826537869211955,0.29960447576562,0.2487228203539531,0.3052354417015444,0.18895622472894025,0.31294318495439266,0.2774037839538933,0.3006019128298205,0.3317234648125076,0.22789336900173462
blimp,0.30422589277504564,0.3250909931286261,1.0,0.1289860820780544,0.29773180320133985,0.25233825516625574,0.4353579350665071,0.6040555747962219,0.2868503420532258,0.2898758127079204,0.4844911166488195,0.39129068275845846,0.36357401365180075,0.2800973440302488,0.3825269160946656,0.23104561308816252,0.404146303515599,0.30423766821759113,0.2574213487780932,0.2812351875509371,0.35883117872364545,0.3427331846878543,0.27610513249232316,0.2446729233107936,0.261364932567544
bus,0.336316393088392,0.24210970391213493,0.1289860820780544,0.9999999999999998,0.3860368396352529,0.5388189405544868,0.3379119362779013,0.2874923278088921,0.2812897265926696,0.38129213698056463,0.34128097463665963,0.291358182878636,0.2739559708409456,0.3339126735136807,0.3651973681636833,0.33927951283516067,0.22501679760468674,0.3876303066975004,0.36771361501893196,0.5321893956302441,0.4658009975930921,0.36055669209478847,0.50813581470564,0.399977670598074,0.3099748113605827
canoe,0.2290326322628845,0.242866573655669,0.29773180320133985,0.3860368396352529,1.0,0.31998185057038,0.3281288408837748,0.361380086217415,0.3478358155959229,0.3295485686690145,0.35074797726723106,0.336627273906726,0.28713362378505114,0.3306345248240332,0.5203619305107856,0.3273471945985017,0.4453064653318759,0.34819106801674415,0.3848767063623193,0.3233088746937247,0.30349888763709054,0.463951589270879,0.34263692391094547,0.4115817860660762,0.36807722385215413
car,0.5936130055426065,0.24860226635841953,0.25233825516625574,0.5388189405544868,0.31998185057038,1.0,0.3686350563604326,0.281968757651468,0.4211492528365516,0.5511957767502359,0.3164178770430246,0.31818280812376876,0.31553028670093486,0.4222103133850912,0.35605079671182827,0.36359657135066115,0.3362967026186994,0.4233703503767088,0.40218965379223204,0.4546461013659876,0.565866106542259,0.34332852442131245,0.4543137037446593,0.38484203011439333,0.44845188293101657
helicopter,0.33728392978167565,0.3402710000664677,0.4353579350665071,0.3379119362779013,0.3281288408837748,0.3686350563604326,1.0,0.41265204705198044,0.2997179161820138,0.4086824695128479,0.46563514204697065,0.41945575928703627,0.2960131872043419,0.38710829290174065,0.30200999068867995,0.3081894005222626,0.3801286193973217,0.31409508634791883,0.33690161008916353,0.38835890591464706,0.4012812581950713,0.4711987038796659,0.32875766044576527,0.29510494895706807,0.41212337880171157
hot air balloon,0.24081683088022365,0.2755317069540788,0.6040555747962219,0.2874923278088921,0.361380086217415,0.281968757651468,0.41265204705198044,1.0,0.20763882921485421,0.3561736892214913,0.5391986918009024,0.4412662809369766,0.40821362332959754,0.24148258581214577,0.37284569211362006,0.19976423611615346,0.39452627587294065,0.3701517989861729,0.27413618234407755,0.361914672319692,0.2890347345542087,0.3834841894831529,0.34166955855260017,0.25699719917615593,0.3489826302882779
jeep,0.38209051159093654,0.28504999364460937,0.2868503420532258,0.2812897265926696,0.3478358155959229,0.4211492528365516,0.2997179161820138,0.20763882921485421,1.0,0.438089341550167,0.30460892225621405,0.2351165525344303,0.2875407419011218,0.35546550024510637,0.3192350161574127,0.32920911873468073,0.3375341347025511,0.2754166041667796,0.36141822162546555,0.2445464890000848,0.4253307320844314,0.22652776451608947,0.3306780005447889,0.19099538221783885,0.30989655443751885
motorcycle,0.477468508798208,0.33227054310789317,0.2898758127079204,0.38129213698056463,0.3295485686690145,0.5511957767502359,0.4086824695128479,0.3561736892214913,0.438089341550167,1.0,0.3610071380311779,0.39071729362328633,0.35305364247395454,0.41407334121985095,0.3434599764402849,0.3447770353243742,0.24616396868340595,0.4545402520224503,0.44617824257766925,0.3021146993968502,0.5076490816388955,0.4240809666269588,0.36775530866877193,0.30127067994114065,0.46434679675694746
parachute,0.34230188334809697,0.327030738478733,0.4844911166488195,0.34128097463665963,0.35074797726723106,0.3164178770430246,0.46563514204697065,0.5391986918009024,0.30460892225621405,0.3610071380311779,1.0,0.4468636329682152,0.40857221652415576,0.3512922560810907,0.35375978057480184,0.22967232004668103,0.41250349835176425,0.3958997784158831,0.35058239973489647,0.3454662958269772,0.3776569070771081,0.34559120064393456,0.37360458516505535,0.28255670782789577,0.3356403815629715
rocket,0.3470833036822627,0.22875650558038552,0.39129068275845846,0.291358182878636,0.336627273906726,0.31818280812376876,0.41945575928703627,0.4412662809369766,0.2351165525344303,0.39071729362328633,0.4468636329682152,0.9999999999999998,0.2913606579552682,0.3563199839462252,0.40930096966400087,0.27827301624384104,0.32451988990084835,0.43624197749719684,0.3619704111955253,0.33534151604065743,0.4229025276122438,0.38142351790444806,0.3310248432982543,0.24915969692707907,0.3937745110699248
roller coaster,0.195601216106424,0.2706882053859575,0.36357401365180075,0.2739559708409456,0.28713362378505114,0.31553028670093486,0.2960131872043419,0.40821362332959754,0.2875407419011218,0.35305364247395454,0.40857221652415576,0.2913606579552682,1.0,0.41932825054642486,0.412064089873043,0.2592048787298905,0.37003300518884663,0.3203216762970771,0.2591951700805748,0.38718310559183056,0.29900612293722606,0.2924538419108149,0.2977665345060916,0.27751016965010755,0.35832827865225014
skateboard,0.3656747465628656,0.24864345540161392,0.2800973440302488,0.3339126735136807,0.3306345248240332,0.4222103133850912,0.38710829290174065,0.24148258581214577,0.35546550024510637,0.41407334121985095,0.3512922560810907,0.3563199839462252,0.41932825054642486,0.9999999999999998,0.33781414799090337,0.24248125233246798,0.2946823260760223,0.31096614765283914,0.3022051207410381,0.28404031137736707,0.46445841148866984,0.43303359990002477,0.3496528909418457,0.3244819403161465,0.3730819292388122
sled,0.3054341479075594,0.25659263881315475,0.3825269160946656,0.3651973681636833,0.5203619305107856,0.35605079671182827,0.30200999068867995,0.37284569211362006,0.3192350161574127,0.3434599764402849,0.35375978057480184,0.40930096966400087,0.412064089873043,0.33781414799090337,1.0,0.4068398334558808,0.28413470131286434,0.2650231646418292,0.3713280938902498,0.36234649905016214,0.4346871761208231,0.3792512906112635,0.32787233678148664,0.48521651892254947,0.4156872436293153
stroller,0.3123273589187723,0.1826537869211955,0.23104561308816252,0.33927951283516067,0.3273471945985017,0.36359657135066115,0.3081894005222626,0.19976423611615346,0.32920911873468073,0.3447770353243742,0.22967232004668103,0.27827301624384104,0.2592048787298905,0.24248125233246798,0.4068398334558808,1.0,0.19723761497958536,0.24818719007568713,0.3509176160994618,0.23467461121874733,0.35173242982178143,0.34832347143443265,0.2869707723696002,0.4229245701461979,0.3891141448105665
submarine,0.2190978506042225,0.29960447576562,0.404146303515599,0.22501679760468674,0.4453064653318759,0.3362967026186994,0.3801286193973217,0.39452627587294065,0.3375341347025511,0.24616396868340595,0.41250349835176425,0.32451988990084835,0.37003300518884663,0.2946823260760223,0.28413470131286434,0.19723761497958536,1.0,0.4009088135639993,0.1908471194840422,0.37320206953310675,0.2352308353529644,0.2872457563307891,0.2505769133945762,0.24294698832024886,0.2661743137425795
tank,0.4371392241289649,0.2487228203539531,0.30423766821759113,0.3876303066975004,0.34819106801674415,0.4233703503767088,0.31409508634791883,0.3701517989861729,0.2754166041667796,0.4545402520224503,0.3958997784158831,0.43624197749719684,0.3203216762970771,0.31096614765283914,0.2650231646418292,0.24818719007568713,0.4009088135639993,0.9999999999999998,0.37471984064773356,0.3420201304379109,0.4759766243048824,0.3329558750962265,0.41936791510190063,0.2731727396423522,0.39681434382427416
tractor,0.42260877914510697,0.3052354417015444,0.2574213487780932,0.36771361501893196,0.3848767063623193,0.40218965379223204,0.33690161008916353,0.27413618234407755,0.36141822162546555,0.44617824257766925,0.35058239973489647,0.3619704111955253,0.2591951700805748,0.3022051207410381,0.3713280938902498,0.3509176160994618,0.1908471194840422,0.37471984064773356,1.0,0.36891997113989494,0.5718795410214468,0.3352538001485228,0.36038586985873877,0.3417386728448647,0.42583348796180465
train,0.2832245235267494,0.18895622472894025,0.2812351875509371,0.5321893956302441,0.3233088746937247,0.4546461013659876,0.38835890591464706,0.361914672319692,0.2445464890000848,0.3021146993968502,0.3454662958269772,0.33534151604065743,0.38718310559183056,0.28404031137736707,0.36234649905016214,0.23467461121874733,0.37320206953310675,0.3420201304379109,0.36891997113989494,1.0,0.40740704410730544,0.31701653235319105,0.3334905270648565,0.33041776318094673,0.281703591573514
truck,0.5942969542714531,0.31294318495439266,0.35883117872364545,0.4658009975930921,0.30349888763709054,0.565866106542259,0.4012812581950713,0.2890347345542087,0.4253307320844314,0.5076490816388955,0.3776569070771081,0.4229025276122438,0.29900612293722606,0.46445841148866984,0.4346871761208231,0.35173242982178143,0.2352308353529644,0.4759766243048824,0.5718795410214468,0.40740704410730544,0.9999999999999999,0.3192600724620891,0.5121615601190826,0.32333669914042185,0.4120418044396663
unicycle,0.3444826606014847,0.2774037839538933,0.3427331846878543,0.36055669209478847,0.463951589270879,0.34332852442131245,0.4711987038796659,0.3834841894831529,0.22652776451608947,0.4240809666269588,0.34559120064393456,0.38142351790444806,0.2924538419108149,0.43303359990002477,0.3792512906112635,0.34832347143443265,0.2872457563307891,0.3329558750962265,0.3352538001485228,0.31701653235319105,0.3192600724620891,1.0,0.3368176498916722,0.47810449639179053,0.48265748728841773
van,0.33940414040901445,0.3006019128298205,0.27610513249232316,0.50813581470564,0.34263692391094547,0.4543137037446593,0.32875766044576527,0.34166955855260017,0.3306780005447889,0.36775530866877193,0.37360458516505535,0.3310248432982543,0.2977665345060916,0.3496528909418457,0.32787233678148664,0.2869707723696002,0.2505769133945762,0.41936791510190063,0.36038586985873877,0.3334905270648565,0.5121615601190826,0.3368176498916722,1.0,0.3509725553123052,0.2082098756912002
wheelchair,0.40929986991379386,0.3317234648125076,0.2446729233107936,0.399977670598074,0.4115817860660762,0.38484203011439333,0.29510494895706807,0.25699719917615593,0.19099538221783885,0.30127067994114065,0.28255670782789577,0.24915969692707907,0.27751016965010755,0.3244819403161465,0.48521651892254947,0.4229245701461979,0.24294698832024886,0.2731727396423522,0.3417386728448647,0.33041776318094673,0.32333669914042185,0.47810449639179053,0.3509725553123052,1.0,0.4004998424943238
golf cart,0.3589582709855035,0.22789336900173462,0.261364932567544,0.3099748113605827,0.36807722385215413,0.44845188293101657,0.41212337880171157,0.3489826302882779,0.30989655443751885,0.46434679675694746,0.3356403815629715,0.3937745110699248,0.35832827865225014,0.3730819292388122,0.4156872436293153,0.3891141448105665,0.2661743137425795,0.39681434382427416,0.42583348796180465,0.281703591573514,0.4120418044396663,0.48265748728841773,0.2082098756912002,0.4004998424943238,1.0
